Year	Month	Day	T obs	T mod	P obs	P mod	H obs	H mod	W obs	W mod	SW obs	SW mod
2001	1	1	NaN	0.18	NaN	0.00	NaN	30.04	NaN	2.79	NaN	78.56
2001	1	2	NaN	3.61	NaN	0.04	NaN	75.36	NaN	2.36	NaN	69.81
2001	1	3	NaN	0.45	NaN	3.21	NaN	84.66	NaN	2.54	NaN	62.87
2001	1	4	NaN	2.34	NaN	5.31	NaN	67.28	NaN	3.72	NaN	74.91
2001	1	5	NaN	3.38	NaN	0.57	NaN	61.62	NaN	5.12	NaN	73.98
2001	1	6	NaN	4.01	NaN	1.10	NaN	88.63	NaN	2.32	NaN	75.14
2001	1	7	NaN	-0.33	NaN	2.60	NaN	99.02	NaN	1.15	NaN	70.19
2001	1	8	NaN	-2.56	NaN	26.19	NaN	94.70	NaN	0.63	NaN	69.77
2001	1	9	NaN	-4.82	NaN	2.99	NaN	73.59	NaN	3.00	NaN	70.46
2001	1	10	NaN	1.25	NaN	1.72	NaN	60.49	NaN	3.68	NaN	72.78
2001	1	11	NaN	1.46	NaN	1.10	NaN	94.35	NaN	1.97	NaN	71.48
2001	1	12	NaN	-2.91	NaN	0.08	NaN	88.97	NaN	1.31	NaN	68.47
2001	1	13	NaN	-6.12	NaN	0.00	NaN	49.33	NaN	2.64	NaN	46.30
2001	1	14	NaN	-6.48	NaN	0.00	NaN	44.68	NaN	3.01	NaN	60.00
2001	1	15	NaN	-3.40	NaN	0.00	NaN	38.47	NaN	4.60	NaN	42.18
2001	1	16	NaN	-5.76	NaN	0.00	NaN	52.01	NaN	1.58	NaN	67.55
2001	1	17	NaN	-2.61	NaN	0.03	NaN	48.98	NaN	1.89	NaN	60.69
2001	1	18	NaN	-1.57	NaN	0.00	NaN	71.24	NaN	1.62	NaN	69.95
2001	1	19	NaN	-1.63	NaN	0.00	NaN	60.67	NaN	1.44	NaN	27.82
2001	1	20	NaN	-2.08	NaN	1.08	NaN	66.26	NaN	0.41	NaN	76.90
2001	1	21	NaN	-4.29	NaN	6.10	NaN	93.22	NaN	0.95	NaN	77.64
2001	1	22	NaN	0.75	NaN	0.12	NaN	63.67	NaN	3.07	NaN	77.92
2001	1	23	NaN	1.94	NaN	0.33	NaN	68.25	NaN	2.58	NaN	77.36
2001	1	24	NaN	4.65	NaN	3.33	NaN	78.29	NaN	3.49	NaN	65.28
2001	1	25	NaN	3.08	NaN	2.11	NaN	86.99	NaN	3.41	NaN	57.64
2001	1	26	NaN	-0.40	NaN	0.40	NaN	73.99	NaN	2.15	NaN	62.04
2001	1	27	NaN	-0.44	NaN	0.13	NaN	58.12	NaN	4.18	NaN	68.24
2001	1	28	NaN	-2.07	NaN	0.00	NaN	47.69	NaN	1.29	NaN	30.09
2001	1	29	NaN	-3.30	NaN	0.01	NaN	66.32	NaN	0.53	NaN	58.43
2001	1	30	NaN	-5.73	NaN	6.82	NaN	92.05	NaN	1.01	NaN	73.38
2001	1	31	NaN	-7.72	NaN	11.28	NaN	89.03	NaN	1.44	NaN	77.27
2001	2	1	NaN	-8.70	NaN	11.02	NaN	90.23	NaN	2.01	NaN	75.42
2001	2	2	NaN	-8.95	NaN	5.23	NaN	86.42	NaN	3.15	NaN	54.72
2001	2	3	NaN	-2.03	NaN	18.98	NaN	86.01	NaN	3.81	NaN	58.61
2001	2	4	NaN	1.29	NaN	20.79	NaN	87.88	NaN	4.90	NaN	65.09
2001	2	5	NaN	1.14	NaN	0.00	NaN	74.61	NaN	3.48	NaN	53.47
2001	2	6	NaN	3.78	NaN	0.00	NaN	73.20	NaN	3.04	NaN	56.94
2001	2	7	NaN	6.21	NaN	0.00	NaN	74.35	NaN	6.40	NaN	28.75
2001	2	8	NaN	5.02	NaN	0.00	NaN	64.77	NaN	6.83	NaN	23.89
2001	2	9	NaN	0.45	NaN	0.88	NaN	90.03	NaN	1.06	NaN	78.47
2001	2	10	NaN	-2.01	NaN	2.57	NaN	93.40	NaN	1.06	NaN	51.48
2001	2	11	NaN	0.60	NaN	0.00	NaN	43.36	NaN	2.12	NaN	53.94
2001	2	12	NaN	4.12	NaN	0.00	NaN	49.80	NaN	2.33	NaN	53.38
2001	2	13	NaN	2.17	NaN	0.40	NaN	86.44	NaN	1.33	NaN	90.69
2001	2	14	NaN	-0.65	NaN	0.00	NaN	65.18	NaN	1.48	NaN	90.74
2001	2	15	NaN	2.91	NaN	0.00	NaN	61.81	NaN	1.96	NaN	93.61
2001	2	16	NaN	3.67	NaN	0.00	NaN	55.09	NaN	1.42	NaN	91.57
2001	2	17	NaN	-0.05	NaN	0.64	NaN	89.44	NaN	1.45	NaN	90.69
2001	2	18	NaN	-2.15	NaN	0.81	NaN	87.16	NaN	2.07	NaN	85.97
2001	2	19	NaN	-2.95	NaN	0.20	NaN	86.47	NaN	3.13	NaN	92.59
2001	2	20	NaN	-4.23	NaN	6.33	NaN	90.64	NaN	4.31	NaN	75.51
2001	2	21	NaN	-2.97	NaN	13.39	NaN	84.09	NaN	5.55	NaN	83.24
2001	2	22	NaN	-2.73	NaN	14.63	NaN	92.22	NaN	5.37	NaN	66.90
2001	2	23	NaN	-4.22	NaN	23.70	NaN	92.06	NaN	3.68	NaN	82.04
