Year	Month	Day	T obs	T mod	P obs	P mod	H obs	H mod	W obs	W mod	SW obs	SW mod
2001	1	1	NaN	-1.75	NaN	0.00	NaN	35.44	NaN	3.57	NaN	79.49
2001	1	2	NaN	1.53	NaN	0.18	NaN	82.92	NaN	2.83	NaN	71.39
2001	1	3	NaN	-0.81	NaN	4.79	NaN	88.26	NaN	3.97	NaN	66.16
2001	1	4	NaN	1.00	NaN	9.05	NaN	72.02	NaN	5.47	NaN	75.69
2001	1	5	NaN	1.31	NaN	0.23	NaN	72.14	NaN	7.18	NaN	72.69
2001	1	6	NaN	2.03	NaN	1.94	NaN	99.72	NaN	2.95	NaN	75.79
2001	1	7	NaN	-0.83	NaN	2.77	NaN	98.87	NaN	0.73	NaN	70.74
2001	1	8	NaN	-3.34	NaN	23.66	NaN	96.38	NaN	1.27	NaN	71.02
2001	1	9	NaN	-6.04	NaN	3.88	NaN	76.28	NaN	4.23	NaN	64.63
2001	1	10	NaN	0.33	NaN	2.54	NaN	60.31	NaN	5.19	NaN	73.29
2001	1	11	NaN	0.36	NaN	2.90	NaN	94.98	NaN	3.31	NaN	72.13
2001	1	12	NaN	-5.47	NaN	0.10	NaN	95.62	NaN	1.40	NaN	68.06
2001	1	13	NaN	-10.94	NaN	0.00	NaN	61.69	NaN	2.71	NaN	48.29
2001	1	14	NaN	-9.99	NaN	0.00	NaN	49.71	NaN	2.97	NaN	56.44
2001	1	15	NaN	-4.41	NaN	0.00	NaN	37.30	NaN	5.39	NaN	46.06
2001	1	16	NaN	-9.01	NaN	0.00	NaN	62.69	NaN	2.01	NaN	62.73
2001	1	17	NaN	-4.49	NaN	0.07	NaN	55.83	NaN	2.60	NaN	63.29
2001	1	18	NaN	-3.86	NaN	0.00	NaN	81.74	NaN	2.55	NaN	69.58
2001	1	19	NaN	-4.38	NaN	0.00	NaN	71.50	NaN	1.87	NaN	43.43
2001	1	20	NaN	-4.12	NaN	0.97	NaN	73.58	NaN	0.74	NaN	78.29
2001	1	21	NaN	-6.18	NaN	5.30	NaN	95.38	NaN	1.39	NaN	79.26
2001	1	22	NaN	-0.67	NaN	0.18	NaN	64.43	NaN	4.08	NaN	79.31
2001	1	23	NaN	0.61	NaN	0.76	NaN	71.71	NaN	3.57	NaN	78.61
2001	1	24	NaN	3.28	NaN	4.16	NaN	89.12	NaN	4.98	NaN	68.38
2001	1	25	NaN	1.93	NaN	3.89	NaN	88.57	NaN	4.88	NaN	61.20
2001	1	26	NaN	-2.58	NaN	2.05	NaN	80.68	NaN	3.18	NaN	63.06
2001	1	27	NaN	-1.91	NaN	0.20	NaN	58.73	NaN	6.08	NaN	71.34
2001	1	28	NaN	-4.72	NaN	0.00	NaN	48.30	NaN	2.09	NaN	40.60
2001	1	29	NaN	-6.29	NaN	0.03	NaN	72.96	NaN	0.84	NaN	60.56
2001	1	30	NaN	-7.45	NaN	2.96	NaN	97.28	NaN	1.37	NaN	74.40
2001	1	31	NaN	-10.22	NaN	5.70	NaN	96.04	NaN	1.94	NaN	77.87
2001	2	1	NaN	-10.11	NaN	10.04	NaN	92.68	NaN	2.62	NaN	76.39
2001	2	2	NaN	-10.20	NaN	10.23	NaN	89.86	NaN	4.10	NaN	53.52
2001	2	3	NaN	-2.96	NaN	31.86	NaN	87.86	NaN	6.44	NaN	63.98
2001	2	4	NaN	0.26	NaN	31.55	NaN	90.11	NaN	7.11	NaN	71.06
2001	2	5	NaN	0.08	NaN	0.00	NaN	76.66	NaN	5.50	NaN	60.32
2001	2	6	NaN	2.30	NaN	0.00	NaN	82.76	NaN	4.41	NaN	60.88
2001	2	7	NaN	5.86	NaN	0.00	NaN	57.27	NaN	6.95	NaN	44.17
2001	2	8	NaN	4.04	NaN	0.00	NaN	63.94	NaN	9.53	NaN	35.19
2001	2	9	NaN	-1.37	NaN	2.24	NaN	92.54	NaN	1.57	NaN	78.98
2001	2	10	NaN	-4.27	NaN	2.80	NaN	97.62	NaN	1.61	NaN	60.19
2001	2	11	NaN	-2.58	NaN	0.00	NaN	52.44	NaN	2.83	NaN	60.14
2001	2	12	NaN	2.13	NaN	0.00	NaN	56.15	NaN	3.02	NaN	49.21
2001	2	13	NaN	1.19	NaN	1.79	NaN	90.14	NaN	1.80	NaN	91.71
